,Path,Acq,Acquisition,Type,Run,Session,Subject,Task,Contrast,Uid,Processing,Threshold,Thresholded Volume,Volume Conservation Factor,1 - Vcf
1,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4001,JogB,BOLD,4001_ofMcF2_bold,Unprocessed,6.373974516987801,559.595,-1.0,-1.0
2,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4001/ses-ofMcF2/func/sub-4001_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4001,JogB,CBV,4001_ofMcF2_cbv,Unprocessed,13.768319586436265,559.652,-1.0,-1.0
4,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4001,JogB,CBV,4001_ofM_cbv,Unprocessed,18.2600571885705,566.486,-1.0,-1.0
5,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4001/ses-ofM/func/sub-4001_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4001,JogB,BOLD,4001_ofM_bold,Unprocessed,8.10789917036891,566.544,-1.0,-1.0
7,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4001,JogB,BOLD,4001_ofMcF1_bold,Unprocessed,6.805492992703804,558.114,-1.0,-1.0
8,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4001/ses-ofMcF1/func/sub-4001_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4001,JogB,CBV,4001_ofMcF1_cbv,Unprocessed,11.806942053502429,558.114,-1.0,-1.0
10,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4001,JogB,BOLD,4001_ofMaF_bold,Unprocessed,8.875134223140776,561.765,-1.0,-1.0
11,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4001/ses-ofMaF/func/sub-4001_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4001,JogB,CBV,4001_ofMaF_cbv,Unprocessed,16.741276453314352,561.822,-1.0,-1.0
13,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4006/ses-ofM/func/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4006,JogB,BOLD,4006_ofM_bold,Unprocessed,8.817855184348304,566.603,-1.0,-1.0
14,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4006/ses-ofM/func/sub-4006_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4006,JogB,CBV,4006_ofM_cbv,Unprocessed,14.505311960652472,566.603,-1.0,-1.0
17,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofM,4002,JogB,CBV,4002_ofM_cbv,Unprocessed,13.65185357011855,566.602,-1.0,-1.0
18,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4002/ses-ofM/func/sub-4002_ses-ofM_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofM,4002,JogB,BOLD,4002_ofM_bold,Unprocessed,6.698819908546284,566.427,-1.0,-1.0
20,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4007/ses-ofMcF1/func/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF1,4007,JogB,BOLD,4007_ofMcF1_bold,Unprocessed,8.306339861154557,557.765,-1.0,-1.0
21,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4007/ses-ofMcF1/func/sub-4007_ses-ofMcF1_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF1,4007,JogB,CBV,4007_ofMcF1_cbv,Unprocessed,15.2850985750556,557.651,-1.0,-1.0
23,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMaF,4007,JogB,BOLD,4007_ofMaF_bold,Unprocessed,9.000608548275197,566.616,-1.0,-1.0
24,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4007/ses-ofMaF/func/sub-4007_ses-ofMaF_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMaF,4007,JogB,CBV,4007_ofMaF_cbv,Unprocessed,16.98559802832548,566.616,-1.0,-1.0
26,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4007/ses-ofMcF2/func/sub-4007_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-1_cbv.nii.gz,EPIlowcov,EPIlowcov,func,1.0,ofMcF2,4007,JogB,CBV,4007_ofMcF2_cbv,Unprocessed,14.049526875838637,557.59,-1.0,-1.0
27,/home/hendrik/.scratch/mlebe/bids_collapsed/sub-4007/ses-ofMcF2/func/sub-4007_ses-ofMcF2_task-JogB_acq-EPIlowcov_run-0_bold.nii.gz,EPIlowcov,EPIlowcov,func,0.0,ofMcF2,4007,JogB,BOLD,4007_ofMcF2_bold,Unprocessed,7.686653916381767,557.647,-1.0,-1.0
